story,file,word,est_cefr,reason
5,5_shopping_for_clothes.json,fitting,B1,"""fitting room"" collocation; the word ""fitting"" alone is not A1"
6,6_at_the_grocery_store.json,aisle,B1,Low-frequency store-specific noun; uncommon and hard to spell for A1
8,8_at_the_doctor.json,fever,B1,Specialized health noun; above A1 frequency band
8,8_at_the_doctor.json,throat,A2,Body-part noun on the A2 edge; acceptable but not core A1
10,10_checking_in_at_a_hotel.json,reservation,B1,Abstract service noun; B1 in most profiles
10,10_checking_in_at_a_hotel.json,included,B1,Passive-voice service sense (""breakfast is included"") is above A1
11,11_at_the_airport.json,boarding,B1,Airport signage word; passive recognition only, low transfer value
11,11_at_the_airport.json,delay,B1,Abstract noun/verb; above A1 frequency band
11,11_at_the_airport.json,passport,A2,Travel-specific noun; A2 at best, near-zero use outside travel
11,11_at_the_airport.json,gate,A2,Airport sense is specialized signage vocabulary
12,12_renting_an_apartment.json,deposit,B1,Finance/housing term; B1
12,12_renting_an_apartment.json,available,B1,Abstract adjective; B1 in most profiles
13,13_a_job_interview.json,experience,B1,Abstract noun; B1
13,13_a_job_interview.json,available,B1,Abstract adjective; B1
14,14_at_the_bank.json,account,A2,Banking noun on the A2/B1 line
14,14_at_the_bank.json,deposit,B1,Finance term; B1
16,16_at_the_pharmacy.json,cough,B1,Specialized health noun/verb; above A1
16,16_at_the_pharmacy.json,fever,B1,Specialized health noun; above A1
16,16_at_the_pharmacy.json,pill,A2,Health noun on the A2 edge
18,18_at_the_gym.json,goal,A2,Abstract noun; A2/B1, weak fit for A1
19,19_calling_tech_support.json,router,B1,Technical device noun; B1+ and low frequency
21,21_buying_a_bus_ticket.json,platform,B1,Transport-specific sense; B1
22,22_at_the_post_office.json,weigh,B1,Lower-frequency verb; B1
22,22_at_the_post_office.json,abroad,B1,Abstract place adverb; B1
22,22_at_the_post_office.json,receipt,B1,Service noun (also tricky spelling); B1
22,22_at_the_post_office.json,deliver,A2,Service verb on the A2/B1 line
24,24_at_the_hair_salon.json,appointment,B1,Abstract service noun; B1
24,24_at_the_hair_salon.json,trim,B1,Low-frequency salon-specific verb; B1+
26,26_a_coffee_break_at_work.json,deadline,B1,Workplace-specific noun; B1
26,26_a_coffee_break_at_work.json,project,B1,Abstract work noun; B1
27,27_booking_a_taxi.json,luggage,B1,Travel-specific uncountable noun; B1
28,28_at_the_library.json,shelf,B1,Lower-frequency noun; B1
28,28_at_the_library.json,fine,B1,Penalty sense (""late fine"") is a separate B1 meaning
29,29_returning_an_item.json,exchange,B1,Abstract service verb/noun; B1
29,29_returning_an_item.json,receipt,B1,Service noun (tricky spelling); B1
31,31_at_the_train_station.json,delay,B1,Abstract noun/verb; above A1
31,31_at_the_train_station.json,platform,B1,Transport-specific sense; B1
31,31_at_the_train_station.json,board,B1,Verb sense (""board the train"") is B1
31,31_at_the_train_station.json,direct,B1,""direct train"" sense; B1
32,32_making_a_reservation.json,reservation,B1,Abstract service noun; B1
32,32_making_a_reservation.json,confirm,B1,Abstract service verb; B1
32,32_making_a_reservation.json,available,B1,Abstract adjective; B1
33,33_at_the_dentist.json,ache,B1,Lower-frequency health noun/verb; B1
36,36_at_the_supermarket_checkout.json,scan,B1,Technical verb; B1
36,36_at_the_supermarket_checkout.json,discount,B1,Retail noun; B1
36,36_at_the_supermarket_checkout.json,receipt,B1,Service noun (tricky spelling); B1
38,38_buying_a_phone_plan.json,contract,B1,Abstract service noun; B1
38,38_buying_a_phone_plan.json,data,B1,Tech/abstract noun; B1
