level,lesson_order,grammar_level,grammar_order
1,1,1,1
1,9,1,2
1,17,1,3
1,4,1,4
1,6,1,5
1,22,1,6
1,12,1,7
1,10,1,8
1,23,1,9
1,3,1,10
1,30,1,11
1,18,1,12
1,35,1,13
1,5,1,14
1,29,1,15
1,8,1,16
2,21,2,1
2,1,2,2
2,6,2,3
2,3,2,4
2,2,2,5
2,29,2,6
2,36,2,7
2,40,2,8
2,31,2,9
2,10,2,10
2,33,2,11
2,9,2,12
2,8,2,13
2,22,2,14
2,26,2,15
2,5,2,16
2,4,2,17
2,12,2,18
2,40,2,19
2,14,2,20
3,9,3,1
3,4,3,2
3,26,3,3
3,31,3,4
3,1,3,5
3,8,3,6
3,24,3,7
3,33,3,8
3,28,3,9
3,14,3,10
3,32,3,11
3,23,3,12
3,12,3,13
3,7,3,14
3,6,3,15
3,29,3,16
4,4,4,1
4,6,4,2
4,12,4,3
4,1,4,4
4,2,4,5
4,15,4,6
4,12,4,7
4,11,4,8
4,38,4,9
4,4,4,10
5,4,5,1
5,24,5,2
5,30,5,3
5,27,5,4
5,13,5,5
5,1,5,6
5,12,5,7
5,23,5,8
5,11,5,9
5,10,5,10
5,9,5,11
5,7,5,12
