id,sentence
1,هر روز یک قدم کوچک بردار، مسیر طولانی از همین قدم‌ها ساخته می‌شود.
2,اشتباه کردن بخشی از یاد گرفتن است، نه نشانه‌ی شکست.
3,لازم نیست کامل باشی، فقط کافی است شروع کنی.
4,سختی امروز، مهارت فردای توست.
5,به جای منتظر انگیزه ماندن، عادت بساز.
6,تو از چیزی که فکر می‌کنی قوی‌تری، فقط هنوز امتحانش نکرده‌ای.
7,پیشرفت آهسته هم پیشرفت است؛ مقایسه را کنار بگذار.
8,ترس طبیعی است، اما نگذار تصمیم‌هایت را او بگیرد.
9,هر بار که ادامه می‌دهی، به خودت ثابت می‌کنی که می‌توانی.
10,زمان به هر حال می‌گذرد، پس آن را صرف چیزی کن که برایت مهم است.
11,موفقیت جمع همان کارهای کوچکی است که دیگران جدی نمی‌گیرند.
12,امروز را برای فردایی بساز که از آن تشکر خواهی کرد.
13,شکست پایان راه نیست، فقط بازخوردی برای مسیر بعدی است.
14,به جای کمال‌گرایی، به پایداری فکر کن.
15,بزرگ‌ترین رقیب تو، تو در دیروز است.
16,انرژی‌ات را صرف چیزهایی کن که می‌توانی تغییرشان دهی.
17,آرام بودن یعنی هنوز در حال حرکتی، فقط بی‌سر و صدا.
18,هر مهارتی که امروز داری، روزی برایت غیرممکن به نظر می‌رسید.
19,انتظار شرایط عالی را نکش؛ با همین که داری شروع کن.
20,به خودت همان‌قدر مهربان باش که با یک دوست خوب هستی.
